Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_proportional_rates[4]	mole_proportional_rates[5]	mole_proportional_rates[6]	mole_proportional_rates[7]	mole_proportional_rates[8]	mole_proportional_rates[9]	mole_proportional_rates[10]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	mole_relative_rates[4]	mole_relative_rates[5]	mole_relative_rates[6]	mole_relative_rates[7]	mole_relative_rates[8]	mole_relative_rates[9]	mole_relative_rates[10]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
20	-95697.86	-95599.72	-98.14123	0.512298	0.308182	0.696154	0.404473	0.868889	0.730977	0.0448535	0.671758	0.728547	1.0107	16.5038	0.0851089	0.801813	0.00748875	0.00811521	0.0167471	0.0243242	0.00478878	0.00959307	0.0160249	0.0259963	0.851089	8.01813	0.0748875	0.0811521	0.167471	0.243242	0.0478878	0.0959307	0.160249	0.259963	1.688672	1.24871	0.183769	0.540579	1.03149	2.24416	0.0594653	0.021288	0.362914	0.0141647	0.138832	0.0974288	0.293702	0.0122054	0.475722	0.170304	2.90331	0.113317	1.11065	0.779431	2.34962	0.0976432	15.02939
21	-95703.88	-95603.45	-100.4307	0.512298	0.308182	0.748856	0.404473	0.868889	0.730977	0.0368862	0.662202	0.728547	1.0107	16.5038	0.0852011	0.802681	0.00749686	0.008124	0.0167787	0.0243505	0.00479396	0.00850694	0.0160422	0.0260245	0.852011	8.02681	0.0749686	0.08124	0.167787	0.243505	0.0479396	0.0850694	0.160422	0.260245	1.537168	1.24871	0.183769	0.540579	1.03149	2.24416	0.0594569	0.021285	0.362863	0.0141627	0.138812	0.0974151	0.293661	0.0123445	0.475655	0.17028	2.9029	0.113301	1.1105	0.779321	2.34929	0.0987557	15.26997
22	-95707.2	-95603.3	-103.897	0.512298	0.308182	0.748856	0.404473	0.868889	0.663625	0.0338654	0.662202	0.728547	1.0107	16.5038	0.0853403	0.803993	0.00750911	0.00813727	0.0168061	0.0243903	0.00457239	0.00852084	0.0146639	0.026067	0.853403	8.03993	0.0750911	0.0813727	0.168061	0.243903	0.0457239	0.0852084	0.146639	0.26067	1.537168	1.24871	0.183769	0.540579	1.03149	2.24416	0.0597745	0.0213987	0.364801	0.0142383	0.139554	0.0979354	0.289888	0.0124104	0.478196	0.17119	2.91841	0.113906	1.11643	0.783483	2.31911	0.0992831	15.62365
23	-95698.94	-95596.84	-102.1047	0.512298	0.308182	0.748856	0.404473	0.868889	0.663625	0.0442811	0.716268	0.73116	0.891077	16.5038	0.0856583	0.806988	0.00753708	0.00816759	0.0168687	0.0212676	0.00458942	0.00804037	0.0147186	0.0261641	0.856583	8.06988	0.0753708	0.0816759	0.168687	0.212676	0.0458942	0.0804037	0.147186	0.261641	1.425132	1.24871	0.183769	0.540579	1.03149	2.24416	0.0524159	0.0218074	0.371768	0.0145102	0.142219	0.089208	0.295424	0.0126474	0.419327	0.174459	2.97414	0.116082	1.13775	0.713664	2.3634	0.101179	15.46087
24	-95699.82	-95595.45	-104.3728	0.512298	0.291001	0.76491	0.404473	0.868889	0.698305	0.0323426	0.716268	0.73116	0.891077	16.5038	0.0858622	0.80891	0.00727685	0.00818703	0.0169089	0.0213182	0.00460035	0.00805952	0.0137197	0.0251575	0.858622	8.0891	0.0727685	0.0818703	0.169089	0.213182	0.0460035	0.0805952	0.137197	0.251575	1.442499	0.9290856	0.122596	0.454347	0.987178	2.43588	0.0530974	0.0220909	0.363599	0.0146989	0.144068	0.0903679	0.299266	0.0128119	0.424779	0.176727	2.90879	0.117591	1.15254	0.722943	2.39413	0.102495	15.68378
25	-95695.62	-95593.18	-102.4409	0.493893	0.291001	0.76491	0.434191	0.829379	0.771482	0.0323426	0.716268	0.783575	0.891077	16.5038	0.0857244	0.807612	0.00726517	0.0081739	0.0168817	0.0224321	0.00459297	0.00804658	0.0143331	0.0249384	0.857244	8.07612	0.0726517	0.081739	0.168817	0.224321	0.0459297	0.0804658	0.143331	0.249384	1.885798	0.7553421	0.0860274	0.388513	0.943769	2.58169	0.0530974	0.0220909	0.363599	0.0146989	0.144068	0.0903679	0.299266	0.0128119	0.424779	0.176727	2.90879	0.117591	1.15254	0.722943	2.39413	0.102495	15.43652
26	-95704.3	-95604.47	-99.82881	0.54096	0.324036	0.76491	0.434191	0.829379	0.755158	0.0273827	0.716268	0.704986	0.891077	15.92819	0.0889288	0.79961	0.00753674	0.00763585	0.0175128	0.0232706	0.00476465	0.00917282	0.0148689	0.0266991	0.889288	7.9961	0.0753674	0.0763585	0.175128	0.232706	0.0476465	0.0917282	0.148689	0.266991	1.973207	0.791061	0.0936552	0.40351	0.954447	2.54839	0.0530289	0.0220624	0.36313	0.0146799	0.143882	0.0902512	0.298879	0.0140863	0.424231	0.176499	2.90504	0.117439	1.15106	0.72201	2.39103	0.11269	15.22611
27	-95699.79	-95601.65	-98.14309	0.54096	0.324036	0.76491	0.347795	0.676975	0.79661	0.0249292	0.716268	0.704986	0.891077	16.29046	0.0805557	0.809299	0.00729818	0.00772837	0.0169429	0.0228213	0.00482238	0.00928397	0.0142259	0.0270226	0.805557	8.09299	0.0729818	0.0772837	0.169429	0.228213	0.0482238	0.0928397	0.142259	0.270226	1.938068	0.791061	0.0936552	0.40351	0.954447	2.54839	0.0530289	0.0220624	0.36313	0.0146799	0.143882	0.0902512	0.298879	0.0140863	0.424231	0.176499	2.90504	0.117439	1.15106	0.72201	2.39103	0.11269	15.0448
28	-95707.02	-95605.31	-101.7139	0.562628	0.324036	0.76491	0.347795	0.676975	0.79661	0.0294592	0.716268	0.704986	0.865788	16.41811	0.0767342	0.815958	0.00745027	0.00736174	0.0161392	0.0225442	0.00564014	0.00884355	0.0135879	0.0257407	0.767342	8.15958	0.0745027	0.0736174	0.161392	0.225442	0.0564014	0.0884355	0.135879	0.257407	1.584144	0.791061	0.0936552	0.40351	0.954447	2.54839	0.0530289	0.0220624	0.36313	0.0146799	0.143882	0.0902512	0.298879	0.0140863	0.424231	0.176499	2.90504	0.117439	1.15106	0.72201	2.39103	0.11269	15.42442
29	-95715.2	-95611.71	-103.4907	0.562628	0.324036	0.76491	0.449205	0.676975	0.79661	0.0310508	0.573145	0.704986	0.865788	16.41811	0.0795201	0.811131	0.00797193	0.00825547	0.0160437	0.0224108	0.00553517	0.00879122	0.0135075	0.0268334	0.795201	8.11131	0.0797193	0.0825547	0.160437	0.224108	0.0553517	0.0879122	0.135075	0.268334	1.991369	0.791061	0.0936552	0.40351	0.954447	2.54839	0.0527322	0.0228718	0.361098	0.0145978	0.143077	0.0944086	0.297207	0.0140075	0.421857	0.182975	2.88878	0.116782	1.14462	0.755269	2.37766	0.11206	15.56539
